Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,1.340000,1.490000,1.190000,1.210000,1.210000,31300
2020-02-05,1.250000,1.370000,1.250000,1.300000,1.300000,22600
2020-02-06,1.350000,1.350000,1.260000,1.340000,1.340000,13400
2020-02-07,1.340000,1.340000,1.200000,1.200000,1.200000,18300
2020-02-10,1.230000,1.270000,1.210000,1.220000,1.220000,36000
2020-02-11,1.240000,1.290000,1.220000,1.230000,1.230000,12500
2020-02-12,1.260000,1.280000,1.220000,1.270000,1.270000,2800
2020-02-13,1.290000,1.300000,1.240000,1.250000,1.250000,9900
2020-02-14,1.280000,1.280000,1.250000,1.260000,1.260000,8600
2020-02-18,1.290000,1.290000,1.240000,1.240000,1.240000,8500
2020-02-19,1.220000,1.230000,1.220000,1.230000,1.230000,10200
2020-02-20,1.210000,1.240000,1.180000,1.180000,1.180000,21600
2020-02-21,1.200000,1.220000,1.180000,1.190000,1.190000,3500
2020-02-24,1.190000,1.190000,1.070000,1.110000,1.110000,77800
2020-02-25,1.130000,1.220000,1.070000,1.120000,1.120000,15700
2020-02-26,1.090000,1.140000,1.050000,1.050000,1.050000,24900
2020-02-27,1.010000,1.050000,0.930000,0.980000,0.980000,86800
2020-02-28,0.900000,0.950000,0.880000,0.950000,0.950000,49400
2020-03-02,1.030000,1.040000,0.940000,1.000000,1.000000,11200
2020-03-03,1.020000,1.100000,1.020000,1.080000,1.080000,18100
2020-03-04,1.080000,1.110000,1.000000,1.020000,1.020000,7400
2020-03-05,1.150000,1.600000,1.140000,1.320000,1.320000,701200
2020-03-06,1.300000,1.300000,1.150000,1.280000,1.280000,126500
2020-03-09,1.150000,1.160000,1.030000,1.150000,1.150000,42900
2020-03-10,1.180000,1.320000,1.180000,1.300000,1.300000,71800
2020-03-11,1.320000,1.330000,1.210000,1.230000,1.230000,40000
2020-03-12,1.110000,1.150000,1.000000,1.000000,1.000000,39900
2020-03-13,1.480000,1.480000,1.000000,1.020000,1.020000,82100
2020-03-16,0.990000,0.990000,0.890000,0.890000,0.890000,57200
2020-03-17,0.940000,1.050000,0.890000,0.980000,0.980000,43000
2020-03-18,1.140000,1.140000,0.890000,0.980000,0.980000,68800
2020-03-19,1.020000,1.020000,0.890000,0.950000,0.950000,11800
2020-03-20,1.000000,1.040000,0.900000,0.970000,0.970000,19700
2020-03-23,0.810000,0.960000,0.530000,0.670000,0.670000,223000
2020-03-24,0.770000,0.920000,0.770000,0.850000,0.850000,57200
2020-03-25,0.890000,0.900000,0.760000,0.770000,0.770000,43900
2020-03-26,0.720000,0.860000,0.700000,0.720000,0.720000,44400
2020-03-27,0.730000,0.750000,0.680000,0.720000,0.720000,57500
2020-03-30,0.780000,0.820000,0.650000,0.680000,0.680000,90000
2020-03-31,0.710000,0.780000,0.650000,0.650000,0.650000,54200
2020-04-01,0.650000,0.740000,0.650000,0.670000,0.670000,24800
2020-04-02,0.650000,0.730000,0.550000,0.590000,0.590000,38400
2020-04-03,0.590000,0.680000,0.550000,0.600000,0.600000,52800
2020-04-06,0.630000,0.710000,0.630000,0.640000,0.640000,35200
2020-04-07,0.720000,0.790000,0.650000,0.680000,0.680000,27600
2020-04-08,0.680000,0.740000,0.610000,0.630000,0.630000,39900
2020-04-09,0.730000,0.730000,0.640000,0.700000,0.700000,68300
2020-04-13,0.720000,0.720000,0.650000,0.700000,0.700000,34200
2020-04-14,0.700000,0.740000,0.650000,0.660000,0.660000,90600
2020-04-15,0.680000,0.720000,0.640000,0.670000,0.670000,24600
2020-04-16,0.720000,0.730000,0.670000,0.670000,0.670000,24500
2020-04-17,0.730000,0.730000,0.660000,0.720000,0.720000,16700
2020-04-20,0.730000,0.730000,0.660000,0.700000,0.700000,24800
2020-04-21,0.700000,0.700000,0.650000,0.670000,0.670000,13300
2020-04-22,0.670000,0.670000,0.640000,0.670000,0.670000,14800
2020-04-23,0.660000,0.700000,0.650000,0.650000,0.650000,13300
2020-04-24,0.690000,0.690000,0.600000,0.680000,0.680000,69300
2020-04-27,0.700000,0.700000,0.650000,0.690000,0.690000,17400
2020-04-28,0.690000,0.750000,0.670000,0.700000,0.700000,24100
2020-04-29,0.740000,0.790000,0.730000,0.730000,0.730000,87600
2020-04-30,0.780000,0.780000,0.740000,0.740000,0.740000,16600
2020-05-01,0.710000,0.750000,0.700000,0.700000,0.700000,20700
2020-05-04,0.860000,0.860000,0.720000,0.730000,0.730000,29400
2020-05-05,0.770000,0.780000,0.700000,0.710000,0.710000,38700
2020-05-06,0.750000,0.780000,0.720000,0.750000,0.750000,49800
2020-05-07,0.730000,0.780000,0.720000,0.720000,0.720000,8500
2020-05-08,0.750000,0.760000,0.720000,0.760000,0.760000,20000
2020-05-11,0.780000,0.780000,0.700000,0.720000,0.720000,16800
2020-05-12,0.750000,0.750000,0.680000,0.680000,0.680000,30200
2020-05-13,0.740000,0.750000,0.610000,0.680000,0.680000,28900
2020-05-14,0.650000,0.700000,0.650000,0.680000,0.680000,30500
2020-05-15,0.650000,0.730000,0.650000,0.680000,0.680000,20400
2020-05-18,0.680000,0.790000,0.680000,0.760000,0.760000,64900
2020-05-19,0.730000,0.800000,0.660000,0.720000,0.720000,89400
2020-05-20,0.750000,0.780000,0.720000,0.750000,0.750000,44500
2020-05-21,0.720000,0.780000,0.700000,0.740000,0.740000,29100
2020-05-22,0.710000,0.850000,0.710000,0.800000,0.800000,158100
2020-05-26,0.800000,0.800000,0.720000,0.800000,0.800000,64100
2020-05-27,0.800000,0.810000,0.780000,0.800000,0.800000,141000
2020-05-28,0.760000,0.840000,0.760000,0.820000,0.820000,58900
2020-05-29,0.840000,1.040000,0.840000,1.040000,1.040000,95600
2020-06-01,1.000000,1.040000,0.840000,0.990000,0.990000,101400
2020-06-02,0.970000,1.000000,0.900000,0.900000,0.900000,50600
2020-06-03,0.900000,0.920000,0.860000,0.870000,0.870000,37300
2020-06-04,1.000000,1.000000,0.780000,0.840000,0.840000,126200
2020-06-05,0.800000,0.960000,0.800000,0.850000,0.850000,121300
2020-06-08,0.850000,0.980000,0.850000,0.890000,0.890000,140900
2020-06-09,0.920000,0.980000,0.850000,0.870000,0.870000,187900
2020-06-10,0.920000,0.950000,0.850000,0.870000,0.870000,145100
2020-06-11,0.880000,0.880000,0.760000,0.760000,0.760000,69100
2020-06-12,0.750000,0.810000,0.750000,0.780000,0.780000,39200
2020-06-15,0.820000,0.820000,0.770000,0.770000,0.770000,153500
2020-06-16,0.750000,0.850000,0.750000,0.790000,0.790000,95300
2020-06-17,0.810000,0.880000,0.810000,0.850000,0.850000,66400
2020-06-18,0.870000,0.950000,0.830000,0.930000,0.930000,104300
2020-06-19,0.920000,0.960000,0.880000,0.930000,0.930000,80400
2020-06-22,0.900000,0.900000,0.800000,0.830000,0.830000,68600
2020-06-23,0.870000,0.940000,0.830000,0.870000,0.870000,81700
2020-06-24,0.900000,0.900000,0.780000,0.860000,0.860000,100700
2020-06-25,0.840000,0.900000,0.810000,0.860000,0.860000,29800
2020-06-26,0.830000,0.870000,0.820000,0.850000,0.850000,71700
2020-06-29,0.830000,0.860000,0.810000,0.820000,0.820000,29900
2020-06-30,0.850000,0.950000,0.820000,0.920000,0.920000,51700
2020-07-01,0.950000,1.050000,0.890000,1.050000,1.050000,232900
2020-07-02,1.100000,1.200000,1.000000,1.010000,1.010000,153700
2020-07-06,1.030000,1.050000,0.910000,0.930000,0.930000,108300
2020-07-07,0.900000,0.970000,0.850000,0.900000,0.900000,53300
2020-07-08,0.860000,0.950000,0.840000,0.890000,0.890000,82000
2020-07-09,0.890000,0.940000,0.860000,0.870000,0.870000,17000
2020-07-10,0.870000,0.930000,0.870000,0.890000,0.890000,65500
2020-07-13,0.890000,0.930000,0.850000,0.850000,0.850000,30300
2020-07-14,0.840000,0.920000,0.840000,0.850000,0.850000,19000
2020-07-15,0.890000,0.890000,0.850000,0.850000,0.850000,32700
2020-07-16,0.860000,0.880000,0.850000,0.850000,0.850000,30400
2020-07-17,0.870000,0.910000,0.860000,0.880000,0.880000,26400
2020-07-20,0.870000,0.960000,0.870000,0.930000,0.930000,75400
2020-07-21,0.960000,0.980000,0.920000,0.920000,0.920000,47400
2020-07-22,0.930000,0.960000,0.930000,0.930000,0.930000,12800
2020-07-23,0.940000,0.940000,0.900000,0.900000,0.900000,30900
2020-07-24,0.940000,0.950000,0.900000,0.910000,0.910000,23700
2020-07-27,0.950000,0.950000,0.870000,0.880000,0.880000,29700
2020-07-28,0.900000,0.920000,0.880000,0.900000,0.900000,28500
2020-07-29,0.900000,0.970000,0.900000,0.920000,0.920000,124800
2020-07-30,0.980000,1.300000,0.930000,1.170000,1.170000,965200
2020-07-31,1.300000,1.340000,1.030000,1.050000,1.050000,284000
2020-08-03,1.050000,1.090000,1.050000,1.070000,1.070000,58900
2020-08-04,1.050000,1.190000,1.050000,1.190000,1.190000,102100
