"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 29, 2020","97.511","97.260","97.515","97.145","0.07K","0.10%"
"Jun 26, 2020","97.417","97.300","97.625","97.270","0.04K","0.02%"
"Jun 25, 2020","97.395","97.260","97.560","97.260","0.02K","0.28%"
"Jun 24, 2020","97.124","96.555","97.215","96.555","0.02K","0.54%"
"Jun 23, 2020","96.603","96.420","96.605","96.410","0.00K","-0.38%"
"Jun 22, 2020","96.975","97.580","97.580","97.000","0.01K","-0.60%"
"Jun 19, 2020","97.562","97.430","97.610","97.170","0.03K","0.19%"
"Jun 18, 2020","97.380","97.000","97.460","97.000","0.03K","0.27%"
"Jun 17, 2020","97.115","96.845","97.260","96.790","0.07K","0.22%"
"Jun 16, 2020","96.903","96.485","97.170","96.455","0.05K","0.26%"
"Jun 15, 2020","96.650","97.250","97.380","96.550","18.52K","-0.70%"
"Jun 12, 2020","97.330","96.845","97.465","96.485","23.76K","0.63%"
"Jun 11, 2020","96.723","96.100","96.845","95.915","25.34K","0.86%"
"Jun 10, 2020","95.897","96.425","96.495","95.570","13.72K","-0.39%"
"Jun 09, 2020","96.271","96.545","97.005","96.180","5.58K","-0.29%"
"Jun 08, 2020","96.555","96.835","97.035","96.535","6.53K","-0.35%"
"Jun 05, 2020","96.892","96.705","97.020","96.460","1.38K","0.28%"
"Jun 04, 2020","96.624","97.260","97.605","96.540","1.05K","-0.62%"
"Jun 03, 2020","97.231","97.585","97.585","97.140","0.74K","-0.41%"
"Jun 02, 2020","97.631","97.815","97.875","97.395","0.39K","-0.16%"
"Jun 01, 2020","97.790","98.270","98.290","97.750","0.24K","-0.54%"
"May 29, 2020","98.323","98.480","98.560","97.930","0.55K","-0.04%"
"May 28, 2020","98.360","98.890","99.035","98.350","0.20K","-0.69%"
"May 27, 2020","99.048","99.080","99.310","98.710","0.19K","0.13%"
"May 26, 2020","98.919","99.790","99.790","98.915","0.18K","-0.96%"
"May 25, 2020","99.880","99.760","99.860","99.745","0.02K","0.00%"
"May 22, 2020","99.880","99.600","99.885","99.575","0.08K","0.48%"
